Title,Story
The Imp of the Perverse,it is merely the idea of what would be our sensations during the sweeping precipitancy of a fall from such a height.
The Imp of the Perverse,and this fall this rushing annihilation for the very reason that it involves that one most ghastly and loathsome of all the most ghastly and loathsome images of death and suffering which have ever presented themselves to our imagination for this very cause do we now the most vividly desire it.
The Imp of the Perverse,and because our reason violently deters us from the brink  therefore do we the most impetuously approach it.
The Imp of the Perverse,there is no passion in nature so demoniacally impatient  as that of him who  shuddering upon the edge of a precipice  thus meditates a plunge.
The Imp of the Perverse,to indulge  for a moment  in any attempt at thought  is to be inevitably lost  for reflection but urges us to forbear  and therefore it is  i say  that we cannot.
The Imp of the Perverse,if there be no friendly arm to check us  or if we fail in a sudden effort to prostrate ourselves backward from the abyss  we plunge  and are destroyed.
The Imp of the Perverse,examine these similar actions as we will  we shall find them resulting solely from the spirit of the perverse.
The Imp of the Perverse,we perpetrate them because we feel that we should not.
The Imp of the Perverse,beyond or behind this there is no intelligible principle  and we might  indeed  deem this perverseness a direct instigation of the arch fiend  were it not occasionally known to operate in furtherance of good.
The Imp of the Perverse,i have said thus much  that in some measure i may answer your question that i may explain to you why i am here that i may assign to you something that shall have at least the faint aspect of a cause for my wearing these fetters  and for my tenanting this cell of the condemned.
The Imp of the Perverse,had i not been thus prolix  you might either have misunderstood me altogether  or  with the rabble  have fancied me mad.
The Imp of the Perverse,as it is  you will easily perceive that i am one of the many uncounted victims of the imp of the perverse.
The Imp of the Perverse,it is impossible that any deed could have been wrought with a more thorough deliberation.
The Imp of the Perverse,for weeks  for months  i pondered upon the means of the murder.
The Imp of the Perverse,i rejected a thousand schemes  because their accomplishment involved a chance of detection.
The Imp of the Perverse,at length  in reading some french memoirs  i found an account of a nearly fatal illness that occurred to madame pilau  through the agency of a candle accidentally poisoned.
The Imp of the Perverse,the idea struck my fancy at once.
The Imp of the Perverse,i knew my victim    s habit of reading in bed.
The Imp of the Perverse,i knew  too  that his apartment was narrow and ill ventilated.
The Imp of the Perverse,but i need not vex you with impertinent details.
The Imp of the Perverse,i need not describe the easy artifices by which i substituted  in his bed room candle stand  a wax light of my own making for the one which i there found.
The Imp of the Perverse,the next morning he was discovered dead in his bed  and the coroner    s verdict was  death by the visitation of god.
The Imp of the Perverse,having inherited his estate  all went well with me for years.
The Imp of the Perverse,the idea of detection never once entered my brain.
The Imp of the Perverse,of the remains of the fatal taper i had myself carefully disposed.
The Imp of the Perverse,i had left no shadow of a clew by which it would be possible to convict  or even to suspect me of the crime.
The Imp of the Perverse,it is inconceivable how rich a sentiment of satisfaction arose in my bosom as i reflected upon my absolute security.
The Imp of the Perverse,for a very long period of time i was accustomed to revel in this sentiment.
The Imp of the Perverse,it afforded me more real delight than all the mere worldly advantages accruing from my sin.
The Imp of the Perverse,but there arrived at length an epoch  from which the pleasurable feeling grew  by scarcely perceptible gradations  into a haunting and harassing thought.
The Imp of the Perverse,it harassed because it haunted.
The Imp of the Perverse,i could scarcely get rid of it for an instant.
The Imp of the Perverse,it is quite a common thing to be thus annoyed with the ringing in our ears  or rather in our memories  of the burthen of some ordinary song  or some unimpressive snatches from an opera.
The Imp of the Perverse,nor will we be the less tormented if the song in itself be good  or the opera air meritorious.
The Imp of the Perverse,in this manner  at last  i would perpetually catch myself pondering upon my security  and repeating  in a low undertone  the phrase   i am safe.
The Imp of the Perverse,one day  whilst sauntering along the streets  i arrested myself in the act of murmuring  half aloud  these customary syllables.
The Imp of the Perverse,in a fit of petulance  i remodelled them thus   i am safe i am safe yes if i be not fool enough to make open confession    no sooner had i spoken these words  than i felt an icy chill creep to my heart.
The Imp of the Perverse,i had had some experience in these fits of perversity  whose nature i have been at some trouble to explain   and i remembered well that in no instance i had successfully resisted their attacks.
The Imp of the Perverse,and now my own casual self suggestion that i might possibly be fool enough to confess the murder of which i had been guilty  confronted me  as if the very ghost of him whom i had murdered and beckoned me on to death.
The Imp of the Perverse,at first  i made an effort to shake off this nightmare of the soul.
The Imp of the Perverse,i walked vigorously faster still faster at length i ran.
The Imp of the Perverse,i felt a maddening desire to shriek aloud.
The Imp of the Perverse,every succeeding wave of thought overwhelmed me with new terror  for  alas  i well  too well understood that to think  in my situation  was to be lost.
The Imp of the Perverse,i still quickened my pace.
The Imp of the Perverse,i bounded like a madman through the crowded thoroughfares.
The Imp of the Perverse,at length  the populace took the alarm  and pursued me.
The Imp of the Perverse,i felt then the consummation of my fate.
The Imp of the Perverse,could i have torn out my tongue  i would have done it  but a rough voice resounded in my ears a rougher grasp seized me by the shoulder.
The Imp of the Perverse,i turned i gasped for breath.
The Imp of the Perverse,for a moment i experienced all the pangs of suffocation  i became blind  and deaf  and giddy  and then some invisible fiend  i thought  struck me with his broad palm upon the back.
The Imp of the Perverse,the long imprisoned secret burst forth from my soul.
The Imp of the Perverse,they say that i spoke with a distinct enunciation  but with marked emphasis and passionate hurry  as if in dread of interruption before concluding the brief but pregnant sentences that consigned me to the hangman and to hell.
The Imp of the Perverse,having related all that was necessary for the fullest judicial conviction  i fell prostrate in a swoon.
The Imp of the Perverse,but why shall i say more  to day i wear these chains  and am here  to morrow i shall be fetterless  but where
The Purloined Letter, at paris  just after dark one gusty evening in the autumn of      i was enjoying the twofold luxury of meditation and a meerschaum  in company with my friend c. auguste dupin  in his little back library  or book closet  au troisi  me  no.
The Purloined Letter,rue dun  t  faubourg st. germain.
The Purloined Letter,for one hour at least we had maintained a profound silence  while each  to any casual observer  might have seemed intently and exclusively occupied with the curling eddies of smoke that oppressed the atmosphere of the chamber.
The Purloined Letter,for myself  however  i was mentally discussing certain topics which had formed matter for conversation between us at an earlier period of the evening  i mean the affair of the rue morgue  and the mystery attending the murder of marie rog  t. i looked upon it  therefore  as something of a coincidence  when the door of our apartment was thrown open and admitted our old acquaintance  monsieur g    the prefect of the parisian police.
The Purloined Letter,we gave him a hearty welcome  for there was nearly half as much of the entertaining as of the contemptible about the man  and we had not seen him for several years.
The Purloined Letter,we had been sitting in the dark  and dupin now arose for the purpose of lighting a lamp  but sat down again  without doing so  upon g.    s saying that he had called to consult us  or rather to ask the opinion of my friend  about some official business which had occasioned a great deal of trouble.
The Purloined Letter,if it is any point requiring reflection   observed dupin  as he forebore to enkindle the wick   we shall examine it to better purpose in the dark.
The Purloined Letter,that is another of your odd notions   said the prefect  who had a fashion of calling every thing  odd  that was beyond his comprehension  and thus lived amid an absolute legion of  oddities.
The Purloined Letter,very true   said dupin  as he supplied his visitor with a pipe  and rolled towards him a comfortable chair.
The Purloined Letter,and what is the difficulty now   i asked.
The Purloined Letter,nothing more in the assassination way  i hope     oh no  nothing of that nature.
The Purloined Letter,the fact is  the business is very simple indeed  and i make no doubt that we can manage it sufficiently well ourselves  but then i thought dupin would like to hear the details of it  because it is so excessively odd.
The Purloined Letter,simple and odd   said dupin.
The Purloined Letter,why  yes  and not exactly that  either.
The Purloined Letter,the fact is  we have all been a good deal puzzled because the affair is so simple  and yet baffles us altogether.
The Purloined Letter,perhaps it is the very simplicity of the thing which puts you at fault   said my friend.
The Purloined Letter,what nonsense you do talk   replied the prefect  laughing heartily.
The Purloined Letter,perhaps the mystery is a little too plain   said dupin.
The Purloined Letter,oh  good heavens  who ever heard of such an idea     a little too self evident.
The Purloined Letter,ha  ha  ha ha  ha  ha  ho  ho  ho   roared our visitor  profoundly amused   oh  dupin  you will be the death of me yet     and what  after all  is the matter on hand   i asked.
The Purloined Letter,why  i will tell you   replied the prefect  as he gave a long  steady and contemplative puff  and settled himself in his chair.
The Purloined Letter,i will tell you in a few words  but  before i begin  let me caution you that this is an affair demanding the greatest secrecy  and that i should most probably lose the position i now hold  were it known that i confided it to any one.
The Purloined Letter,proceed   said i.
The Purloined Letter,or not   said dupin.
The Purloined Letter,well  then  i have received personal information  from a very high quarter  that a certain document of the last importance has been purloined from the royal apartments.
The Purloined Letter,the individual who purloined it is known  this beyond a doubt  he was seen to take it.
The Purloined Letter,it is known  also  that it still remains in his possession.
The Purloined Letter,how is this known   asked dupin.
The Purloined Letter,it is clearly inferred   replied the prefect   from the nature of the document  and from the non appearance of certain results which would at once arise from its passing out of the robber    s possession  that is to say  from his employing it as he must design in the end to employ it.
The Purloined Letter,be a little more explicit   i said.
The Purloined Letter,well  i may venture so far as to say that the paper gives its holder a certain power in a certain quarter where such power is immensely valuable.
The Purloined Letter,the prefect was fond of the cant of diplomacy.
The Purloined Letter,still i do not quite understand   said dupin.
The Purloined Letter,no  well  the disclosure of the document to a third person  who shall be nameless  would bring in question the honor of a personage of most exalted station  and this fact gives the holder of the document an ascendancy over the illustrious personage whose honor and peace are so jeopardized.
The Purloined Letter,but this ascendancy   i interposed   would depend upon the robber    s knowledge of the loser    s knowledge of the robber.
The Purloined Letter,who would dare     the thief   said g.   is the minister d    who dares all things  those unbecoming as well as those becoming a man.
The Purloined Letter,the method of the theft was not less ingenious than bold.
The Purloined Letter,the document in question a letter  to be frank had been received by the personage robbed while alone in the royal boudoir.
The Purloined Letter,during its perusal she was suddenly interrupted by the entrance of the other exalted personage from whom especially it was her wish to conceal it.
The Purloined Letter,after a hurried and vain endeavor to thrust it in a drawer  she was forced to place it  open as it was  upon a table.
The Purloined Letter,the address  however  was uppermost  and  the contents thus unexposed  the letter escaped notice.
The Purloined Letter,at this juncture enters the minister d  .
The Purloined Letter,his lynx eye immediately perceives the paper  recognises the handwriting of the address  observes the confusion of the personage addressed  and fathoms her secret.
The Purloined Letter,after some business transactions  hurried through in his ordinary manner  he produces a letter somewhat similar to the one in question  opens it  pretends to read it  and then places it in close juxtaposition to the other.
The Purloined Letter,again he converses  for some fifteen minutes  upon the public affairs.
The Purloined Letter,at length  in taking leave  he takes also from the table the letter to which he had no claim.
The Purloined Letter,its rightful owner saw  but  of course  dared not call attention to the act  in the presence of the third personage who stood at her elbow.
The Purloined Letter,the minister decamped  leaving his own letter one of no importance upon the table.
The Purloined Letter,here  then   said dupin to me   you have precisely what you demand to make the ascendancy complete the robber    s knowledge of the loser    s knowledge of the robber.
The Purloined Letter,yes   replied the prefect   and the power thus attained has  for some months past  been wielded  for political purposes  to a very dangerous extent.
The Purloined Letter,the personage robbed is more thoroughly convinced  every day  of the necessity of reclaiming her letter.
The Purloined Letter,but this  of course  cannot be done openly.
The Purloined Letter,in fine  driven to despair  she has committed the matter to me.
The Purloined Letter,than whom   said dupin  amid a perfect whirlwind of smoke   no more sagacious agent could  i suppose  be desired  or even imagined.
The Purloined Letter,you flatter me   replied the prefect   but it is possible that some such opinion may have been entertained.
The Purloined Letter,it is clear   said i   as you observe  that the letter is still in possession of the minister  since it is this possession  and not any employment of the letter  which bestows the power.
The Purloined Letter,with the employment the power departs.
The Purloined Letter,true   said g.   and upon this conviction i proceeded.
The Purloined Letter,my first care was to make thorough search of the minister    s hotel  and here my chief embarrassment lay in the necessity of searching without his knowledge.
The Purloined Letter,beyond all things  i have been warned of the danger which would result from giving him reason to suspect our design.
The Purloined Letter,but   said i   you are quite au fait in these investigations.
The Purloined Letter,the parisian police have done this thing often before.
The Purloined Letter,oh  yes  and for this reason i did not despair.
The Purloined Letter,the habits of the minister gave me  too  a great advantage.
The Purloined Letter,he is frequently absent from home all night.
The Purloined Letter,his servants are by no means numerous.
The Purloined Letter,they sleep at a distance from their master    s apartment  and  being chiefly neapolitans  are readily made drunk.
The Purloined Letter,i have keys  as you know  with which i can open any chamber or cabinet in paris.
The Purloined Letter,for three months a night has not passed  during the greater part of which i have not been engaged  personally  in ransacking the d   hotel.
The Purloined Letter,my honor is interested  and  to mention a great secret  the reward is enormous.
The Purloined Letter,so i did not abandon the search until i had become fully satisfied that the thief is a more astute man than myself.
The Purloined Letter,i fancy that i have investigated every nook and corner of the premises in which it is possible that the paper can be concealed.
The Purloined Letter,but is it not possible   i suggested   that although the letter may be in possession of the minister  as it unquestionably is  he may have concealed it elsewhere than upon his own premises     this is barely possible   said dupin.
The Purloined Letter,the present peculiar condition of affairs at court  and especially of those intrigues in which d   is known to be involved  would render the instant availability of the document its susceptibility of being produced at a moment    s notice a point of nearly equal importance with its possession.
The Purloined Letter,its susceptibility of being produced   said i.
The Purloined Letter,that is to say  of being destroyed   said dupin.
The Purloined Letter,true   i observed   the paper is clearly then upon the premises.
The Purloined Letter,as for its being upon the person of the minister  we may consider that as out of the question.
The Purloined Letter,entirely   said the prefect.
The Purloined Letter,he has been twice waylaid  as if by footpads  and his person rigorously searched under my own inspection.
The Purloined Letter,you might have spared yourself this trouble   said dupin.
The Purloined Letter,d    i presume  is not altogether a fool  and  if not  must have anticipated these waylayings  as a matter of course.
The Purloined Letter,not altogether a fool   said g.   but then he    s a poet  which i take to be only one remove from a fool.
The Purloined Letter,true   said dupin  after a long and thoughtful whiff from his meerschaum   although i have been guilty of certain doggrel myself.
The Purloined Letter,suppose you detail   said i   the particulars of your search.
The Purloined Letter,why the fact is  we took our time  and we searched everywhere.
The Purloined Letter,i have had long experience in these affairs.
The Purloined Letter,i took the entire building  room by room  devoting the nights of a whole week to each.
The Purloined Letter,we examined  first  the furniture of each apartment.
The Purloined Letter,we opened every possible drawer  and i presume you know that  to a properly trained police agent  such a thing as a secret drawer is impossible.
The Purloined Letter,any man is a dolt who permits a     secret     drawer to escape him in a search of this kind.
The Purloined Letter,the thing is so plain.
The Purloined Letter,there is a certain amount of bulk of space to be accounted for in every cabinet.
The Purloined Letter,then we have accurate rules.
The Purloined Letter,the fiftieth part of a line could not escape us.
The Purloined Letter,after the cabinets we took the chairs.
The Purloined Letter,the cushions we probed with the fine long needles you have seen me employ.
The Purloined Letter,from the tables we removed the tops.
The Purloined Letter,why so     sometimes the top of a table  or other similarly arranged piece of furniture  is removed by the person wishing to conceal an article  then the leg is excavated  the article deposited within the cavity  and the top replaced.
The Purloined Letter,the bottoms and tops of bedposts are employed in the same way.
The Purloined Letter,but could not the cavity be detected by sounding   i asked.
The Purloined Letter,by no means  if  when the article is deposited  a sufficient wadding of cotton be placed around it.
The Purloined Letter,besides  in our case  we were obliged to proceed without noise.
The Purloined Letter,but you could not have removed you could not have taken to pieces all articles of furniture in which it would have been possible to make a deposit in the manner you mention.
The Purloined Letter,a letter may be compressed into a thin spiral roll  not differing much in shape or bulk from a large knitting needle  and in this form it might be inserted into the rung of a chair  for example.
The Purloined Letter,you did not take to pieces all the chairs     certainly not  but we did better we examined the rungs of every chair in the hotel  and  indeed the jointings of every description of furniture  by the aid of a most powerful microscope.
The Purloined Letter,had there been any traces of recent disturbance we should not have failed to detect it instantly.
The Purloined Letter,a single grain of gimlet dust  for example  would have been as obvious as an apple.
The Purloined Letter,any disorder in the glueing any unusual gaping in the joints would have sufficed to insure detection.
The Purloined Letter,i presume you looked to the mirrors  between the boards and the plates  and you probed the beds and the bed clothes  as well as the curtains and carpets.
The Purloined Letter,that of course  and when we had absolutely completed every particle of the furniture in this way  then we examined the house itself.
The Purloined Letter,we divided its entire surface into compartments  which we numbered  so that none might be missed  then we scrutinized each individual square inch throughout the premises  including the two houses immediately adjoining  with the microscope  as before.
The Purloined Letter,the two houses adjoining   i exclaimed   you must have had a great deal of trouble.
The Purloined Letter,we had  but the reward offered is prodigious     you include the grounds about the houses     all the grounds are paved with brick.
The Purloined Letter,they gave us comparatively little trouble.
The Purloined Letter,we examined the moss between the bricks  and found it undisturbed.
The Purloined Letter,you looked among d      s papers  of course  and into the books of the library     certainly  we opened every package and parcel  we not only opened every book  but we turned over every leaf in each volume  not contenting ourselves with a mere shake  according to the fashion of some of our police officers.
The Purloined Letter,we also measured the thickness of every book cover  with the most accurate admeasurement  and applied to each the most jealous scrutiny of the microscope.
The Purloined Letter,had any of the bindings been recently meddled with  it would have been utterly impossible that the fact should have escaped observation.
The Purloined Letter,some five or six volumes  just from the hands of the binder  we carefully probed  longitudinally  with the needles.
The Purloined Letter,you explored the floors beneath the carpets     beyond doubt.
The Purloined Letter,we removed every carpet  and examined the boards with the microscope.
The Purloined Letter,and the paper on the walls     yes.
The Purloined Letter,you looked into the cellars     we did.
The Purloined Letter,then   i said   you have been making a miscalculation  and the letter is not upon the premises  as you suppose.
The Purloined Letter,i fear you are right there   said the prefect.
The Purloined Letter,and now  dupin  what would you advise me to do     to make a thorough re search of the premises.
The Purloined Letter,that is absolutely needless   replied g  .
The Purloined Letter,i am not more sure that i breathe than i am that the letter is not at the hotel.
The Purloined Letter,i have no better advice to give you   said dupin.
The Purloined Letter,you have  of course  an accurate description of the letter     oh yes   and here the prefect  producing a memorandum book  proceeded to read aloud a minute account of the internal  and especially of the external appearance of the missing document.
The Purloined Letter,soon after finishing the perusal of this description  he took his departure  more entirely depressed in spirits than i had ever known the good gentleman before.
The Purloined Letter,in about a month afterwards he paid us another visit  and found us occupied very nearly as before.
The Purloined Letter,he took a pipe and a chair and entered into some ordinary conversation.
The Purloined Letter,at length i said     well  but g    what of the purloined letter  i presume you have at last made up your mind that there is no such thing as overreaching the minister     confound him  say i yes  i made the re examination  however  as dupin suggested but it was all labor lost  as i knew it would be.
The Purloined Letter,how much was the reward offered  did you say   asked dupin.
The Purloined Letter,why  a very great deal a very liberal reward i don    t like to say how much  precisely  but one thing i will say  that i wouldn    t mind giving my individual check for fifty thousand francs to any one who could obtain me that letter.
The Purloined Letter,the fact is  it is becoming of more and more importance every day  and the reward has been lately doubled.
The Purloined Letter,if it were trebled  however  i could do no more than i have done.
The Purloined Letter,why  yes   said dupin  drawlingly  between the whiffs of his meerschaum   i really think  g    you have not exerted yourself to the utmost in this matter.
The Purloined Letter,you might do a little more  i think  eh     how  in what way     why puff  puff you might puff  puff employ counsel in the matter  eh  puff  puff  puff.
The Purloined Letter,do you remember the story they tell of abernethy     no  hang abernethy     to be sure  hang him and welcome.
The Purloined Letter,but  once upon a time  a certain rich miser conceived the design of spunging upon this abernethy for a medical opinion.
The Purloined Letter,getting up  for this purpose  an ordinary conversation in a private company  he insinuated his case to the physician  as that of an imaginary individual.
The Purloined Letter,we will suppose      said the miser      that his symptoms are such and such  now  doctor  what would you have directed him to take            take      said abernethy      why  take advice  to be sure.
The Purloined Letter,but   said the prefect  a little discomposed   i am perfectly willing to take advice  and to pay for it.
The Purloined Letter,i would really give fifty thousand francs to any one who would aid me in the matter.
The Purloined Letter,in that case   replied dupin  opening a drawer  and producing a check book   you may as well fill me up a check for the amount mentioned.
The Purloined Letter,when you have signed it  i will hand you the letter.
The Purloined Letter,i was astounded.
The Purloined Letter,the prefect appeared absolutely thunder stricken.
The Purloined Letter,for some minutes he remained speechless and motionless  looking incredulously at my friend with open mouth  and eyes that seemed starting from their sockets  then  apparently recovering himself in some measure  he seized a pen  and after several pauses and vacant stares  finally filled up and signed a check for fifty thousand francs  and handed it across the table to dupin.
The Purloined Letter,the latter examined it carefully and deposited it in his pocket book  then  unlocking an escritoire  took thence a letter and gave it to the prefect.
The Purloined Letter,this functionary grasped it in a perfect agony of joy  opened it with a trembling hand  cast a rapid glance at its contents  and then  scrambling and struggling to the door  rushed at length unceremoniously from the room and from the house  without having uttered a syllable since dupin had requested him to fill up the check.
The Purloined Letter,when he had gone  my friend entered into some explanations.
The Purloined Letter,the parisian police   he said   are exceedingly able in their way.
The Purloined Letter,they are persevering  ingenious  cunning  and thoroughly versed in the knowledge which their duties seem chiefly to demand.
The Purloined Letter,thus  when g   detailed to us his mode of searching the premises at the hotel d    i felt entire confidence in his having made a satisfactory investigation so far as his labors extended.
The Purloined Letter,so far as his labors extended   said i.
The Purloined Letter,yes   said dupin.
The Purloined Letter,the measures adopted were not only the best of their kind  but carried out to absolute perfection.
The Purloined Letter,had the letter been deposited within the range of their search  these fellows would  beyond a question  have found it.
The Purloined Letter,i merely laughed but he seemed quite serious in all that he said.
The Purloined Letter,the measures  then   he continued   were good in their kind  and well executed  their defect lay in their being inapplicable to the case  and to the man.
The Purloined Letter,a certain set of highly ingenious resources are  with the prefect  a sort of procrustean bed  to which he forcibly adapts his designs.
The Purloined Letter,but he perpetually errs by being too deep or too shallow for the matter in hand  and many a schoolboy is a better reasoner than he.
The Purloined Letter,i knew one about eight years of age  whose success at guessing in the game of     even and odd     attracted universal admiration.
The Purloined Letter,this game is simple  and is played with marbles.
The Purloined Letter,one player holds in his hand a number of these toys  and demands of another whether that number is even or odd.
The Purloined Letter,if the guess is right  the guesser wins one  if wrong  he loses one.
The Purloined Letter,the boy to whom i allude won all the marbles of the school.
The Purloined Letter,of course he had some principle of guessing  and this lay in mere observation and admeasurement of the astuteness of his opponents.
The Purloined Letter,for example  an arrant simpleton is his opponent  and  holding up his closed hand  asks      are they even or odd      our schoolboy replies      odd      and loses  but upon the second trial he wins  for he then says to himself      the simpleton had them even upon the first trial  and his amount of cunning is just sufficient to make him have them odd upon the second  i will therefore guess odd      he guesses odd  and wins.
The Purloined Letter,now  with a simpleton a degree above the first  he would have reasoned thus      this fellow finds that in the first instance i guessed odd  and  in the second  he will propose to himself  upon the first impulse  a simple variation from even to odd  as did the first simpleton  but then a second thought will suggest that this is too simple a variation  and finally he will decide upon putting it even as before.
The Purloined Letter,i will therefore guess even      he guesses even  and wins.
The Purloined Letter,now this mode of reasoning in the schoolboy  whom his fellows termed     lucky      what  in its last analysis  is it     it is merely   i said   an identification of the reasoner    s intellect with that of his opponent.
The Purloined Letter,it is   said dupin   and  upon inquiring of the boy by what means he effected the thorough identification in which his success consisted  i received answer as follows      when i wish to find out how wise  or how stupid  or how good  or how wicked is any one  or what are his thoughts at the moment  i fashion the expression of my face  as accurately as possible  in accordance with the expression of his  and then wait to see what thoughts or sentiments arise in my mind or heart  as if to match or correspond with the expression.
